State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Type","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,"State-Specific Comments","Rate Used in Calculating State Mean and Median"
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17",2021,"Medicaid only",Administrative,41.3,45,51.2,42.1,59.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17",2021,"Medicaid only",Administrative,64.3,46,71.5,64.2,79.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17",2021,"CHIP only",Administrative,38.8,45,51.2,42.1,59.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17",2021,"CHIP only",Administrative,62.4,46,71.5,64.2,79.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12",ADD-CH,"Higher rates are better for this measure","Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12",2021,"Medicaid only",Administrative,38.0,48,47.0,41.4,52.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12",ADD-CH,"Higher rates are better for this measure","Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12",2021,"Medicaid only",Administrative,100.0,48,57.8,51.9,62.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12",ADD-CH,"Higher rates are better for this measure","Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12",2021,"CHIP only",Administrative,43.7,48,47.0,41.4,52.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12",ADD-CH,"Higher rates are better for this measure","Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12",2021,"CHIP only",Administrative,55.0,48,57.8,51.9,62.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17",APM-CH,"Higher rates are better for this measure","Percentage on Antipsychotics who Received Blood Glucose Testing: Ages 1 to 17",2021,"Medicaid only",Administrative,38.7,45,47.1,41.6,53.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17",APM-CH,"Higher rates are better for this measure","Percentage on Antipsychotics who Received Cholesterol Testing: Ages 1 to 17",2021,"Medicaid only",Administrative,23.2,44,32.6,26.7,38.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
