State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Description",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"25th Percentile","75th Percentile",Notes,Source,Location
Kentucky,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,"Medicaid & Dual Eligibles",Hybrid,77.4,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(37.669, -84.6514)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & CHIP",Administrative,64.8,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.1801, -91.8749)"
Louisiana,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2014,"Medicaid & CHIP",Administrative,45.0,31,47.2,41.0,53.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.1801, -91.8749)"
Mississippi,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,Medicaid,Administrative,70.6,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.7673, -89.6812)"
Minnesota,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2014,"Medicaid & Dual Eligibles",Administrative,45.0,30,57.3,45.0,71.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(45.7326, -93.9196)"
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,41.2,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.799, -86.8073)"
"New Mexico","Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2014,"Medicaid & CHIP",Administrative,17.8,31,31.2,24.9,36.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.8375, -106.2371)"
Colorado,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,"Medicaid & Dual Eligibles",Hybrid,57.7,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.0646, -105.3272)"
Connecticut,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2014,"Medicaid & CHIP",Administrative,61.8,31,47.2,41.0,53.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(41.5834, -72.7622)"
Delaware,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,72.6,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.3498, -75.5148)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications",MPM-AD,"Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64",2014,Medicaid,Administrative,85.9,27,84.9,82.0,87.1,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(38.468, -80.9696)"
Minnesota,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,52.2,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(45.7326, -93.9196)"
Vermont,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2014,"Medicaid & CHIP & Dual Eligibles",Administrative,64.0,31,47.2,41.0,53.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(44.0407, -72.7093)"
Tennessee,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,"Medicaid & Dual Eligibles",Hybrid,78.5,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(35.7449, -86.7489)"
Ohio,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,"Medicaid & CHIP",Administrative,66.4,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3736, -82.7755)"
California,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,Medicaid,Administrative,48.7,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(36.17, -119.7462)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,69.6,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.3504, -84.5603)"
Indiana,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,53.8,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.8647, -86.2604)"
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,"Medicaid & CHIP",Administrative,61.9,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3363, -89.0022)"
Texas,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,60.4,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.106, -97.6475)"
Oklahoma,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,"Medicaid & CHIP & Dual Eligibles",Administrative,11.2,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(35.5376, -96.9247)"
Delaware,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2014,Medicaid,Administrative,33.9,31,31.2,24.9,36.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.3498, -75.5148)"
Washington,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,"Medicaid & CHIP",Administrative,30.7,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(47.3917, -121.5708)"
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,"Medicaid & CHIP",Administrative,75.8,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3363, -89.0022)"
Ohio,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,"Medicaid & CHIP",Administrative,51.1,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3736, -82.7755)"
Alabama,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2014,Medicaid,Administrative,34.8,30,57.3,45.0,71.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.799, -86.8073)"
Texas,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,51.4,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.106, -97.6475)"
Oregon,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & CHIP & Dual Eligibles",Administrative,70.1,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(44.5672, -122.1269)"
Washington,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & CHIP",Administrative,66.8,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(47.3917, -121.5708)"
Montana,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,Medicaid,Administrative,63.3,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(46.9048, -110.3261)"
"New Mexico","Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2014,"Medicaid & CHIP",Administrative,36.8,31,47.2,41.0,53.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.8375, -106.2371)"
Minnesota,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,"Medicaid & Dual Eligibles",Administrative,23.0,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(45.7326, -93.9196)"
